LOCATION,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,POPULATION
Clare,552.84,522.2,499.65,460.22,445.29,431.98,424.96,429.41,459.81,513.01,522.89,56932
Cork,723.16,687.3,636.91,587.79,568.59,572.35,580.03,601.77,649.57,697.19,753.97,134735
Kerry,567.8,544.04,498.2,466.05,453.57,469.88,484.16,486.5,485.95,526.63,562.92,218018
Limerick,604.45,571.3,561.64,533.4,521.79,512.46,511.47,516.84,565.25,582.89,582.57,99232
Mayo,583.86,571.94,501.73,456.72,443.38,451.85,454.45,424.72,451.03,490.34,541.27,84697
Tipperary,583.29,547.37,513.07,484,469.49,466.97,463.29,471.43,485.38,496.74,542.05,40873
Waterford,633.03,578.19,518.56,507.26,492.6,466.59,459.42,479.21,499.75,565.53,641.35,128884
Wexford,624.16,598.91,535.68,508.42,500.51,484.1,483.62,503.22,530.4,584.34,630.66,195044
Wicklow,969.63,888.38,773.54,737.52,736.27,721.63,728.6,762.63,858.16,908.55,954.22,77961
Carlow,722,704.22,661.91,624.11,587.02,564.17,573.52,623.45,651.58,692.12,726.77,88770
Cavan,534.22,511.88,484.95,436.95,426.1,441.25,446.87,450.57,480.29,534.13,570.63,149722
Clare,665.63,628.59,576.36,546.62,515.07,510.75,516.24,514.63,555.17,592.97,607.03,142425
Cork,824.54,782.17,709.87,690.11,669.47,673.4,696.92,728.09,770.38,823.35,869.98,128020
Cork City,926.1,872.62,788.1,806.93,769.16,770.31,797.48,869.47,942.13,1014.32,1043.7,118817
"Mallow, Cork",657.16,648.72,621.76,588.5,553.21,548.85,559.64,577.36,630.14,711.18,739.51,125657
"Letterkenny, Donegal",571.44,537.52,510.23,477.31,470.59,460.18,453.58,465.13,490.58,535.69,566.85,147707
Dublin,1569.23,1395.98,1227,1193.01,1225.03,1245.59,1332.09,1439.78,1551.62,1624.85,1707.2,194899
Dublin 15,1216.04,1160.78,1089.84,1036.43,1020.78,1078.18,1121.67,1171.39,1279.11,1325.93,1349.5,58259
Dublin 24,1189.94,1102.32,1020.82,982.67,1014.9,1035,1079.13,1202.84,1291.53,1318.96,1342.21,136640
Galway,781.98,714.84,647.54,614.43,619.39,606.69,609.4,649.91,690.09,759.45,791.61,159553
Galway City,891.54,826.88,754.56,705.45,706.27,710.32,729.9,747.22,817.67,963.59,1007.81,71282
Kerry,661.9,617.98,575.47,542.96,526.94,525.33,526.11,551.55,579.54,609.1,646.35,88271
"Killarney, Kerry",739.01,678.69,613.34,589.8,575.5,580.19,585.74,606.44,634.49,676.56,748.22,116176
"Tralee, Kerry",687.58,644.77,599.9,575.36,549.19,555.5,564.22,588.77,616.47,637.96,670.27,48216
Kildare,1033.56,945.83,842.57,771.76,785.37,791.12,814.58,887.47,1008.14,1072.92,1122.55,67960
Laois,735.13,660.03,581.94,557.29,552.91,555.76,563.45,598.14,693.14,765.24,788.24,78668
"Portlaoise, Laois",759.63,664.35,590.59,563.79,560.41,579.88,592.56,613.35,716.06,810.97,845.79,179390
Leitrim,559.69,529.4,452.72,421.58,410.16,409.38,410.73,412.37,433.17,453.04,479.83,32044
Limerick,706.23,666.73,620.27,583.55,558.66,565.82,553.75,582.32,611.3,656.52,716.32,130507
Louth,874.27,787.7,703.26,677.77,663.52,655.48,675.17,718.3,789.97,883.34,964.41,65535
Mayo,622.37,604.8,556.66,534.81,511.19,496.27,498.1,499.44,517.68,553.99,562.42,76176
Meath,881.42,780.59,700.95,676.71,668.22,683.86,699.1,754.31,853.34,933.82,1003.06,159192
Monaghan,598.69,547.65,502.01,494.21,482.67,484.86,493.9,497.1,521.53,566.48,592.74,61386
Tipperary,662.84,627.41,588.69,569.64,551.8,542.23,539.38,546.91,574.85,599.46,634.64,30376
Westmeath,649.06,591.76,536.57,517.95,508.77,506.66,512.21,539.61,592.65,636.86,670.14,153372
"Mullingar, Westmeath",652.89,598.98,543.76,511.5,509.78,516.7,518.73,541.84,567.49,596.23,696.43,160071
Wexford,717.24,677.93,624.43,599.5,579.65,568.27,570.18,591.54,629.12,663.59,707.51,113350
"Enniscorthy, Wexford",689.55,652.03,588.82,580.23,568.1,543.65,538.01,552.83,584.14,612.91,642.27,119379
"Gorey, Wexford",734.02,684.81,635.77,609.74,575.58,562.29,564.02,604.65,664.58,738.66,789.12,51261
Wicklow,1029.14,966.98,878.62,853.04,846.16,838.34,862.71,908.01,974.87,1057.47,1124.27,45545
"Arklow, Wicklow",849.65,794.3,715.14,711.72,692.83,680.9,690.9,718.54,786.56,868.79,986.87,21405
Clare,538.32,506.94,484.2,446.35,434.97,421.09,415.28,425.31,448.63,495.58,518.91,69546
Cork City,735.09,698.95,685.19,623.59,641.9,666.47,657.96,653.83,738.65,804.18,823.96,40710
Donegal,466.02,434.61,416.6,397.92,376.55,355.67,347.8,361.06,385.12,399.11,408.97,47125
Dublin,1289.65,1191.8,1062.52,1016.03,1020.91,1014.4,1057.71,1163.59,1273.46,1355.57,1498.36,77364
Galway,596.51,584.19,541.8,509.34,531.68,503.24,514.51,520.91,562.33,633.14,692.66,74084
Kildare,768.97,770.55,685.64,596.45,588.76,618.66,665.12,719.05,758.4,866.47,944.03,60474
Mayo,586.33,568.34,491.83,446.08,436.79,448.39,451.37,416.6,434.76,461.83,508.95,73839
Meath,735.1,673.2,615.18,567.16,572.6,560.89,584.56,654.04,742.98,787.11,850.07,215813
Sligo,552.5,513.63,455.56,454.67,425.73,427.33,392.18,436.41,486.08,516.19,515.8,73962
Tipperary,574.32,535.74,503.88,467.59,455.64,453.67,452.78,460.04,471.06,487.22,536.77,105067
Waterford,621.79,564.28,515.23,505.83,490.85,469.85,457.72,474.32,504.79,557.01,605.67,33431
Wexford,608.62,586.73,536.91,501.12,488.46,476.01,475.96,493.45,515.39,568.52,613.64,71636
Wicklow,948.6,863.56,750.91,715.88,711.62,702.6,711.25,742.24,837.27,889.08,934.08,82365
Carlow,695.51,661.66,626.76,593.16,559.74,547.09,548.89,583.78,620.78,667.13,697.4,36551
Cavan,527.13,500.97,461.58,421.91,411.23,419.41,421.94,432.04,466.75,510.77,541.34,45814
Clare,626.45,586.93,547.87,517.55,490.47,484.79,487.66,489.4,523.47,561.43,580.94,61065
"Ennis, Clare",619.51,603.09,564.02,545.56,519.31,493.84,510.72,512,546.23,600.74,611.51,26510
Cork,786.7,746.64,685.04,658.03,639.95,642.96,660.35,687.22,730.01,779.9,829.93,34555
"Carrigaline, Cork",884.35,840.7,756.94,715.39,711.09,738.31,774.28,814.78,880.44,904.3,958.19,139262
"Mallow, Cork",626.2,606.17,578.25,549.3,524.43,522.69,538.38,549.31,591.6,659.59,706.32,48141
Donegal,540.44,504.99,477.16,460.74,447.36,423.93,404.92,419.05,436.14,463.93,482.78,91121
"Letterkenny, Donegal",569.76,528.35,494.03,463.75,457.44,445.63,436.73,448.13,469.77,514.68,537.56,15921
Dublin,1454.42,1320,1169.06,1129.45,1155.35,1165.72,1233.52,1331.95,1438.27,1521.6,1624.93,65426
Dublin 4,1876.55,1781.04,1558.24,1523.77,1675.46,1731.06,1817.5,1912.81,1979.95,2005,2214.96,31990
Dublin 6,1489.52,1495.77,1447.1,1313.6,1241.81,1387.14,1468.98,1636.98,1843.03,1917.07,1976.04,34357
Dublin 14,1619.26,1561.27,1401.31,1260.88,1247.54,1392.03,1610.3,1738.29,1755.88,1881.53,2007.65,152564
Dublin 15,1176.63,1133.35,1056.18,1001.58,992.42,1040.61,1058.28,1121.37,1253.48,1311.06,1332.23,39465
Dublin 24,1183.32,1082.06,997.19,959.84,969.34,995.12,1030.51,1126.16,1213.87,1260.58,1320.8,81482
Galway,724.29,678.14,620.78,586.16,597.74,582.82,584.27,613.95,651.42,720.56,764.01,31617
"Oranmore, Galway",740.98,689.65,653.2,657.61,662.06,672.72,698.73,743.26,731.45,823.99,901.85,17925
Kerry,637.07,597.41,555.56,523.49,508.98,510.87,514.35,532.13,553.42,586.01,620.89,9600
"Killarney, Kerry",720.44,649.98,601.98,583.65,560.61,564.77,577.38,597.89,620.01,648.83,708.43,21206
"Listowel, Kerry",591.41,578.36,539.11,502.84,485.79,485.74,479.33,481.25,489.38,515.06,543.06,47889
"Tralee, Kerry",651.59,628.09,580.28,552.88,537.3,538.62,542.84,553.76,584.14,628.51,664.64,169153
Kildare,967.05,894.21,792.66,717,725.14,737.81,770.68,834.51,923.29,1006.8,1069.7,103224
"Naas, Kildare",1082.53,947.48,802.61,730.25,726.77,762.7,831.03,891.96,975.71,1088.71,1188.95,113970
Kilkenny,701.52,667.77,604.21,546.54,546.32,538.42,544.63,573.39,621.74,671.65,712.34,85542
Laois,706.85,637.73,564.85,537.15,534.91,531.77,537.51,574.32,656.39,725.22,752.41,86219
"Portlaoise, Laois",738.45,650.83,576.12,549.8,546.09,557.4,572.9,603.4,694.92,775.8,809.03,39264
Leitrim,542.73,512.06,444.25,411.05,399.34,393.9,390.07,397.99,424.63,441.92,458.39,31922
Limerick,686.53,638.23,598.98,562.28,539.2,544.27,538.66,556.81,592.79,633.48,677.35,15381
Limerick City,843.99,754.51,660.32,598.06,585.48,585.81,596.29,597.86,629.27,657.34,724.38,47321
Louth,827.37,755.84,679.67,656.33,639.5,628.36,646.14,685.34,752.7,841.79,914.62,30095
"Drogheda, Louth",912.9,836.86,741.25,714.92,695.71,677.09,696.45,740.32,854.24,981.94,1059.02,33441
Mayo,610.27,593.06,537.91,512.63,492.73,484.62,486.09,480.14,497.59,531,548.83,57189
Meath,843.52,751.56,677.26,644.2,638.31,648.42,666.3,725.01,821.7,886.33,945.13,55373
Offaly,651.75,599.79,548.76,522.91,513.07,497.25,501.8,525.19,533.05,580.01,612,47092
Sligo,595.18,576.08,532.86,508.52,494.8,494.69,481.35,490.98,517.15,570.12,582.03,39113
Tipperary,634.09,599.89,560.89,536.77,522.12,511.56,509.38,516.27,541.37,562.76,602.58,166980
"Clonmel, Tipperary",674.18,662.18,605.85,576.31,566.78,553.24,564.21,568.3,607.9,626.55,636.11,59384
Waterford,671.92,662.02,621.65,575.02,557.33,537.04,549.27,550.8,563.28,629.57,692.28,72446
Waterford City,779.91,732.09,660.16,616.96,596.37,585.72,573.39,577.9,613,690.49,744.74,18530
Westmeath,640,582.18,530.07,507.14,493.19,492.52,494.36,521.52,573.03,607.52,648.25,53916
"Athlone, Westmeath",671.82,617.7,557.41,565.18,531.88,517.59,528.58,595.2,663.16,697.53,692.26,61295
"Mullingar, Westmeath",645.14,591.8,542.72,509.22,490.58,493.04,500.34,522.16,547.47,568.12,673.8,27920
Wexford,692.12,655.83,604.57,579.38,559.88,546.54,548.39,569.96,603.09,643.23,685.95,33375
"Enniscorthy, Wexford",646.84,618.69,562.76,549.93,542.36,522.15,517.77,528.08,554.18,589.96,609.7,43645
"Gorey, Wexford",717.79,668.35,621.78,592.91,560.27,542.97,546.04,595.44,649.75,726.24,787.65,16500
Wicklow,997.22,929.16,833.12,799.75,794.29,785.55,805.7,847.39,922.4,990.8,1050.81,27145
"Arklow, Wicklow",839.6,785.37,706.49,699.51,672.9,657.91,667.72,688.52,751.96,819.84,920.47,213594
"Bray, Wicklow",1285.57,1181.93,1020.17,944.87,1013.09,971.56,950.04,1073.61,1154.78,1167.48,1271.61,97374
Carlow,769.53,785.35,736.01,727.01,737.94,715.77,714.03,734.06,760.47,809.61,829,24263
Cavan,652.81,607.56,574.33,556.45,534.29,520.68,518.99,541.08,586.73,611.66,636.22,73111
Clare,791.5,751.63,680.73,642.48,625.12,614.29,606.16,614.96,663.02,711.06,736.44,12857
"Ennis, Clare",814.71,771.8,686.63,650.84,642.89,621.06,603.55,626.52,692.41,744.1,785.39,52279
Cork,1038.14,966.75,899.5,862.91,843.46,837.34,881.62,933.4,951.04,997.52,1053.11,26113
Cork City,1226.75,1130.68,1067.04,1028.42,1005.1,970.71,1068.69,1114.38,1133.75,1230.35,1338.32,24971
"Mallow, Cork",821.5,795.13,714.85,668.16,648.21,648.95,671.01,709.33,760.88,784.86,857.94,117376
Donegal,668.79,636.23,586.76,552.34,533.86,522.76,525.62,541.88,560.61,578.18,595.91,29971
